"date","domain","count","user"
"2020-01-09","stackoverflow.com",0,"kacper"
"2020-01-09","wikipedia.org",1,"kacper"
"2020-01-09","github.com",0,"kacper"
"2020-01-09","pw.edu.pl",16,"kacper"
"2020-01-09","youtube.com",0,"kacper"
"2020-01-09","google.com",25,"kacper"
"2020-01-09","facebook.com",0,"kacper"
"2020-01-09","instagram.com",0,"kacper"
"2020-01-10","stackoverflow.com",0,"kacper"
"2020-01-10","wikipedia.org",0,"kacper"
"2020-01-10","github.com",0,"kacper"
"2020-01-10","pw.edu.pl",0,"kacper"
"2020-01-10","youtube.com",0,"kacper"
"2020-01-10","google.com",11,"kacper"
"2020-01-10","facebook.com",0,"kacper"
"2020-01-10","instagram.com",0,"kacper"
"2020-01-11","stackoverflow.com",1,"kacper"
"2020-01-11","wikipedia.org",5,"kacper"
"2020-01-11","github.com",0,"kacper"
"2020-01-11","pw.edu.pl",37,"kacper"
"2020-01-11","youtube.com",58,"kacper"
"2020-01-11","google.com",25,"kacper"
"2020-01-11","facebook.com",3,"kacper"
"2020-01-11","instagram.com",0,"kacper"
"2020-01-12","stackoverflow.com",0,"kacper"
"2020-01-12","wikipedia.org",9,"kacper"
"2020-01-12","github.com",0,"kacper"
"2020-01-12","pw.edu.pl",28,"kacper"
"2020-01-12","youtube.com",66,"kacper"
"2020-01-12","google.com",62,"kacper"
"2020-01-12","facebook.com",9,"kacper"
"2020-01-12","instagram.com",0,"kacper"
"2020-01-13","stackoverflow.com",0,"kacper"
"2020-01-13","wikipedia.org",3,"kacper"
"2020-01-13","github.com",7,"kacper"
"2020-01-13","pw.edu.pl",18,"kacper"
"2020-01-13","youtube.com",8,"kacper"
"2020-01-13","google.com",5,"kacper"
"2020-01-13","facebook.com",9,"kacper"
"2020-01-13","instagram.com",0,"kacper"
"2020-01-14","stackoverflow.com",1,"kacper"
"2020-01-14","wikipedia.org",11,"kacper"
"2020-01-14","github.com",0,"kacper"
"2020-01-14","pw.edu.pl",8,"kacper"
"2020-01-14","youtube.com",42,"kacper"
"2020-01-14","google.com",27,"kacper"
"2020-01-14","facebook.com",29,"kacper"
"2020-01-14","instagram.com",0,"kacper"
"2020-01-15","stackoverflow.com",0,"kacper"
"2020-01-15","wikipedia.org",0,"kacper"
"2020-01-15","github.com",0,"kacper"
"2020-01-15","pw.edu.pl",0,"kacper"
"2020-01-15","youtube.com",0,"kacper"
"2020-01-15","google.com",29,"kacper"
"2020-01-15","facebook.com",0,"kacper"
"2020-01-15","instagram.com",0,"kacper"
"2020-01-16","stackoverflow.com",0,"kacper"
"2020-01-16","wikipedia.org",3,"kacper"
"2020-01-16","github.com",53,"kacper"
"2020-01-16","pw.edu.pl",0,"kacper"
"2020-01-16","youtube.com",0,"kacper"
"2020-01-16","google.com",16,"kacper"
"2020-01-16","facebook.com",0,"kacper"
"2020-01-16","instagram.com",0,"kacper"
"2020-01-17","stackoverflow.com",0,"kacper"
"2020-01-17","wikipedia.org",15,"kacper"
"2020-01-17","github.com",0,"kacper"
"2020-01-17","pw.edu.pl",4,"kacper"
"2020-01-17","youtube.com",29,"kacper"
"2020-01-17","google.com",129,"kacper"
"2020-01-17","facebook.com",46,"kacper"
"2020-01-17","instagram.com",0,"kacper"
"2020-01-18","stackoverflow.com",0,"kacper"
"2020-01-18","wikipedia.org",10,"kacper"
"2020-01-18","github.com",0,"kacper"
"2020-01-18","pw.edu.pl",0,"kacper"
"2020-01-18","youtube.com",2,"kacper"
"2020-01-18","google.com",170,"kacper"
"2020-01-18","facebook.com",11,"kacper"
"2020-01-18","instagram.com",0,"kacper"
"2020-01-19","stackoverflow.com",0,"kacper"
"2020-01-19","wikipedia.org",3,"kacper"
"2020-01-19","github.com",0,"kacper"
"2020-01-19","pw.edu.pl",2,"kacper"
"2020-01-19","youtube.com",13,"kacper"
"2020-01-19","google.com",85,"kacper"
"2020-01-19","facebook.com",16,"kacper"
"2020-01-19","instagram.com",0,"kacper"
"2020-01-20","stackoverflow.com",0,"kacper"
"2020-01-20","wikipedia.org",7,"kacper"
"2020-01-20","github.com",0,"kacper"
"2020-01-20","pw.edu.pl",16,"kacper"
"2020-01-20","youtube.com",0,"kacper"
"2020-01-20","google.com",44,"kacper"
"2020-01-20","facebook.com",8,"kacper"
"2020-01-20","instagram.com",0,"kacper"
"2020-01-21","stackoverflow.com",0,"kacper"
"2020-01-21","wikipedia.org",3,"kacper"
"2020-01-21","github.com",0,"kacper"
"2020-01-21","pw.edu.pl",31,"kacper"
"2020-01-21","youtube.com",0,"kacper"
"2020-01-21","google.com",31,"kacper"
"2020-01-21","facebook.com",0,"kacper"
"2020-01-21","instagram.com",0,"kacper"
"2020-01-22","stackoverflow.com",0,"kacper"
"2020-01-22","wikipedia.org",1,"kacper"
"2020-01-22","github.com",0,"kacper"
"2020-01-22","pw.edu.pl",18,"kacper"
"2020-01-22","youtube.com",1,"kacper"
"2020-01-22","google.com",9,"kacper"
"2020-01-22","facebook.com",15,"kacper"
"2020-01-22","instagram.com",0,"kacper"
"2020-01-23","stackoverflow.com",0,"kacper"
"2020-01-23","wikipedia.org",1,"kacper"
"2020-01-23","github.com",20,"kacper"
"2020-01-23","pw.edu.pl",46,"kacper"
"2020-01-23","youtube.com",3,"kacper"
"2020-01-23","google.com",17,"kacper"
"2020-01-23","facebook.com",3,"kacper"
"2020-01-23","instagram.com",0,"kacper"
"2020-01-24","stackoverflow.com",0,"kacper"
"2020-01-24","wikipedia.org",3,"kacper"
"2020-01-24","github.com",8,"kacper"
"2020-01-24","pw.edu.pl",37,"kacper"
"2020-01-24","youtube.com",3,"kacper"
"2020-01-24","google.com",9,"kacper"
"2020-01-24","facebook.com",28,"kacper"
"2020-01-24","instagram.com",0,"kacper"
"2020-01-25","stackoverflow.com",0,"kacper"
"2020-01-25","wikipedia.org",0,"kacper"
"2020-01-25","github.com",0,"kacper"
"2020-01-25","pw.edu.pl",10,"kacper"
"2020-01-25","youtube.com",92,"kacper"
"2020-01-25","google.com",13,"kacper"
"2020-01-25","facebook.com",2,"kacper"
"2020-01-25","instagram.com",0,"kacper"
"2020-01-26","stackoverflow.com",0,"kacper"
"2020-01-26","wikipedia.org",0,"kacper"
"2020-01-26","github.com",0,"kacper"
"2020-01-26","pw.edu.pl",10,"kacper"
"2020-01-26","youtube.com",15,"kacper"
"2020-01-26","google.com",11,"kacper"
"2020-01-26","facebook.com",0,"kacper"
"2020-01-26","instagram.com",0,"kacper"
"2020-01-27","stackoverflow.com",0,"kacper"
"2020-01-27","wikipedia.org",0,"kacper"
"2020-01-27","github.com",2,"kacper"
"2020-01-27","pw.edu.pl",25,"kacper"
"2020-01-27","youtube.com",62,"kacper"
"2020-01-27","google.com",19,"kacper"
"2020-01-27","facebook.com",0,"kacper"
"2020-01-27","instagram.com",0,"kacper"
"2020-01-28","stackoverflow.com",0,"kacper"
"2020-01-28","wikipedia.org",1,"kacper"
"2020-01-28","github.com",0,"kacper"
"2020-01-28","pw.edu.pl",9,"kacper"
"2020-01-28","youtube.com",146,"kacper"
"2020-01-28","google.com",24,"kacper"
"2020-01-28","facebook.com",0,"kacper"
"2020-01-28","instagram.com",0,"kacper"
"2020-01-29","stackoverflow.com",1,"kacper"
"2020-01-29","wikipedia.org",13,"kacper"
"2020-01-29","github.com",19,"kacper"
"2020-01-29","pw.edu.pl",35,"kacper"
"2020-01-29","youtube.com",8,"kacper"
"2020-01-29","google.com",88,"kacper"
"2020-01-29","facebook.com",10,"kacper"
"2020-01-29","instagram.com",0,"kacper"
"2020-01-30","stackoverflow.com",2,"kacper"
"2020-01-30","wikipedia.org",0,"kacper"
"2020-01-30","github.com",17,"kacper"
"2020-01-30","pw.edu.pl",16,"kacper"
"2020-01-30","youtube.com",0,"kacper"
"2020-01-30","google.com",23,"kacper"
"2020-01-30","facebook.com",0,"kacper"
"2020-01-30","instagram.com",0,"kacper"
"2020-01-31","stackoverflow.com",0,"kacper"
"2020-01-31","wikipedia.org",6,"kacper"
"2020-01-31","github.com",4,"kacper"
"2020-01-31","pw.edu.pl",14,"kacper"
"2020-01-31","youtube.com",1,"kacper"
"2020-01-31","google.com",27,"kacper"
"2020-01-31","facebook.com",18,"kacper"
"2020-01-31","instagram.com",0,"kacper"
"2020-02-01","stackoverflow.com",0,"kacper"
"2020-02-01","wikipedia.org",2,"kacper"
"2020-02-01","github.com",0,"kacper"
"2020-02-01","pw.edu.pl",44,"kacper"
"2020-02-01","youtube.com",45,"kacper"
"2020-02-01","google.com",4,"kacper"
"2020-02-01","facebook.com",3,"kacper"
"2020-02-01","instagram.com",0,"kacper"
"2020-02-02","stackoverflow.com",0,"kacper"
"2020-02-02","wikipedia.org",6,"kacper"
"2020-02-02","github.com",0,"kacper"
"2020-02-02","pw.edu.pl",26,"kacper"
"2020-02-02","youtube.com",13,"kacper"
"2020-02-02","google.com",142,"kacper"
"2020-02-02","facebook.com",268,"kacper"
"2020-02-02","instagram.com",0,"kacper"
"2020-02-03","stackoverflow.com",0,"kacper"
"2020-02-03","wikipedia.org",0,"kacper"
"2020-02-03","github.com",0,"kacper"
"2020-02-03","pw.edu.pl",10,"kacper"
"2020-02-03","youtube.com",0,"kacper"
"2020-02-03","google.com",1,"kacper"
"2020-02-03","facebook.com",0,"kacper"
"2020-02-03","instagram.com",0,"kacper"
"2020-02-04","stackoverflow.com",0,"kacper"
"2020-02-04","wikipedia.org",5,"kacper"
"2020-02-04","github.com",0,"kacper"
"2020-02-04","pw.edu.pl",6,"kacper"
"2020-02-04","youtube.com",4,"kacper"
"2020-02-04","google.com",121,"kacper"
"2020-02-04","facebook.com",11,"kacper"
"2020-02-04","instagram.com",0,"kacper"
"2020-02-05","stackoverflow.com",0,"kacper"
"2020-02-05","wikipedia.org",5,"kacper"
"2020-02-05","github.com",0,"kacper"
"2020-02-05","pw.edu.pl",0,"kacper"
"2020-02-05","youtube.com",2,"kacper"
"2020-02-05","google.com",9,"kacper"
"2020-02-05","facebook.com",0,"kacper"
"2020-02-05","instagram.com",0,"kacper"
"2020-02-06","stackoverflow.com",0,"kacper"
"2020-02-06","wikipedia.org",2,"kacper"
"2020-02-06","github.com",0,"kacper"
"2020-02-06","pw.edu.pl",15,"kacper"
"2020-02-06","youtube.com",44,"kacper"
"2020-02-06","google.com",22,"kacper"
"2020-02-06","facebook.com",0,"kacper"
"2020-02-06","instagram.com",0,"kacper"
"2020-02-07","stackoverflow.com",0,"kacper"
"2020-02-07","wikipedia.org",9,"kacper"
"2020-02-07","github.com",0,"kacper"
"2020-02-07","pw.edu.pl",28,"kacper"
"2020-02-07","youtube.com",11,"kacper"
"2020-02-07","google.com",36,"kacper"
"2020-02-07","facebook.com",0,"kacper"
"2020-02-07","instagram.com",0,"kacper"
"2020-02-08","stackoverflow.com",0,"kacper"
"2020-02-08","wikipedia.org",16,"kacper"
"2020-02-08","github.com",0,"kacper"
"2020-02-08","pw.edu.pl",13,"kacper"
"2020-02-08","youtube.com",28,"kacper"
"2020-02-08","google.com",60,"kacper"
"2020-02-08","facebook.com",34,"kacper"
"2020-02-08","instagram.com",0,"kacper"
"2020-02-09","stackoverflow.com",0,"kacper"
"2020-02-09","wikipedia.org",0,"kacper"
"2020-02-09","github.com",0,"kacper"
"2020-02-09","pw.edu.pl",0,"kacper"
"2020-02-09","youtube.com",15,"kacper"
"2020-02-09","google.com",5,"kacper"
"2020-02-09","facebook.com",25,"kacper"
"2020-02-09","instagram.com",0,"kacper"
"2020-02-10","stackoverflow.com",0,"kacper"
"2020-02-10","wikipedia.org",0,"kacper"
"2020-02-10","github.com",0,"kacper"
"2020-02-10","pw.edu.pl",0,"kacper"
"2020-02-10","youtube.com",0,"kacper"
"2020-02-10","google.com",0,"kacper"
"2020-02-10","facebook.com",11,"kacper"
"2020-02-10","instagram.com",0,"kacper"
"2020-02-11","stackoverflow.com",0,"kacper"
"2020-02-11","wikipedia.org",0,"kacper"
"2020-02-11","github.com",0,"kacper"
"2020-02-11","pw.edu.pl",0,"kacper"
"2020-02-11","youtube.com",58,"kacper"
"2020-02-11","google.com",15,"kacper"
"2020-02-11","facebook.com",19,"kacper"
"2020-02-11","instagram.com",0,"kacper"
"2020-02-12","stackoverflow.com",0,"kacper"
"2020-02-12","wikipedia.org",7,"kacper"
"2020-02-12","github.com",0,"kacper"
"2020-02-12","pw.edu.pl",4,"kacper"
"2020-02-12","youtube.com",0,"kacper"
"2020-02-12","google.com",9,"kacper"
"2020-02-12","facebook.com",12,"kacper"
"2020-02-12","instagram.com",0,"kacper"
"2020-02-13","stackoverflow.com",0,"kacper"
"2020-02-13","wikipedia.org",5,"kacper"
"2020-02-13","github.com",0,"kacper"
"2020-02-13","pw.edu.pl",0,"kacper"
"2020-02-13","youtube.com",34,"kacper"
"2020-02-13","google.com",2,"kacper"
"2020-02-13","facebook.com",22,"kacper"
"2020-02-13","instagram.com",0,"kacper"
"2020-02-14","stackoverflow.com",0,"kacper"
"2020-02-14","wikipedia.org",1,"kacper"
"2020-02-14","github.com",1,"kacper"
"2020-02-14","pw.edu.pl",99,"kacper"
"2020-02-14","youtube.com",20,"kacper"
"2020-02-14","google.com",78,"kacper"
"2020-02-14","facebook.com",2,"kacper"
"2020-02-14","instagram.com",0,"kacper"
"2020-02-15","stackoverflow.com",0,"kacper"
"2020-02-15","wikipedia.org",0,"kacper"
"2020-02-15","github.com",0,"kacper"
"2020-02-15","pw.edu.pl",3,"kacper"
"2020-02-15","youtube.com",36,"kacper"
"2020-02-15","google.com",10,"kacper"
"2020-02-15","facebook.com",0,"kacper"
"2020-02-15","instagram.com",0,"kacper"
"2020-02-16","stackoverflow.com",3,"kacper"
"2020-02-16","wikipedia.org",0,"kacper"
"2020-02-16","github.com",0,"kacper"
"2020-02-16","pw.edu.pl",0,"kacper"
"2020-02-16","youtube.com",3,"kacper"
"2020-02-16","google.com",15,"kacper"
"2020-02-16","facebook.com",0,"kacper"
"2020-02-16","instagram.com",0,"kacper"
"2020-02-17","stackoverflow.com",2,"kacper"
"2020-02-17","wikipedia.org",0,"kacper"
"2020-02-17","github.com",0,"kacper"
"2020-02-17","pw.edu.pl",0,"kacper"
"2020-02-17","youtube.com",53,"kacper"
"2020-02-17","google.com",0,"kacper"
"2020-02-17","facebook.com",0,"kacper"
"2020-02-17","instagram.com",0,"kacper"
"2020-02-18","stackoverflow.com",1,"kacper"
"2020-02-18","wikipedia.org",0,"kacper"
"2020-02-18","github.com",0,"kacper"
"2020-02-18","pw.edu.pl",12,"kacper"
"2020-02-18","youtube.com",62,"kacper"
"2020-02-18","google.com",4,"kacper"
"2020-02-18","facebook.com",0,"kacper"
"2020-02-18","instagram.com",0,"kacper"
"2020-02-19","stackoverflow.com",0,"kacper"
"2020-02-19","wikipedia.org",0,"kacper"
"2020-02-19","github.com",0,"kacper"
"2020-02-19","pw.edu.pl",0,"kacper"
"2020-02-19","youtube.com",0,"kacper"
"2020-02-19","google.com",8,"kacper"
"2020-02-19","facebook.com",0,"kacper"
"2020-02-19","instagram.com",0,"kacper"
"2020-02-20","stackoverflow.com",2,"kacper"
"2020-02-20","wikipedia.org",0,"kacper"
"2020-02-20","github.com",0,"kacper"
"2020-02-20","pw.edu.pl",2,"kacper"
"2020-02-20","youtube.com",82,"kacper"
"2020-02-20","google.com",4,"kacper"
"2020-02-20","facebook.com",17,"kacper"
"2020-02-20","instagram.com",0,"kacper"
"2020-02-21","stackoverflow.com",0,"kacper"
"2020-02-21","wikipedia.org",0,"kacper"
"2020-02-21","github.com",0,"kacper"
"2020-02-21","pw.edu.pl",0,"kacper"
"2020-02-21","youtube.com",1,"kacper"
"2020-02-21","google.com",1,"kacper"
"2020-02-21","facebook.com",8,"kacper"
"2020-02-21","instagram.com",0,"kacper"
"2020-02-22","stackoverflow.com",0,"kacper"
"2020-02-22","wikipedia.org",0,"kacper"
"2020-02-22","github.com",0,"kacper"
"2020-02-22","pw.edu.pl",0,"kacper"
"2020-02-22","youtube.com",34,"kacper"
"2020-02-22","google.com",1,"kacper"
"2020-02-22","facebook.com",8,"kacper"
"2020-02-22","instagram.com",0,"kacper"
"2020-02-24","stackoverflow.com",0,"kacper"
"2020-02-24","wikipedia.org",2,"kacper"
"2020-02-24","github.com",0,"kacper"
"2020-02-24","pw.edu.pl",13,"kacper"
"2020-02-24","youtube.com",0,"kacper"
"2020-02-24","google.com",8,"kacper"
"2020-02-24","facebook.com",10,"kacper"
"2020-02-24","instagram.com",0,"kacper"
"2020-02-25","stackoverflow.com",0,"kacper"
"2020-02-25","wikipedia.org",13,"kacper"
"2020-02-25","github.com",0,"kacper"
"2020-02-25","pw.edu.pl",12,"kacper"
"2020-02-25","youtube.com",0,"kacper"
"2020-02-25","google.com",23,"kacper"
"2020-02-25","facebook.com",8,"kacper"
"2020-02-25","instagram.com",0,"kacper"
"2020-02-26","stackoverflow.com",0,"kacper"
"2020-02-26","wikipedia.org",8,"kacper"
"2020-02-26","github.com",0,"kacper"
"2020-02-26","pw.edu.pl",15,"kacper"
"2020-02-26","youtube.com",0,"kacper"
"2020-02-26","google.com",16,"kacper"
"2020-02-26","facebook.com",0,"kacper"
"2020-02-26","instagram.com",0,"kacper"
"2020-02-27","stackoverflow.com",0,"kacper"
"2020-02-27","wikipedia.org",0,"kacper"
"2020-02-27","github.com",0,"kacper"
"2020-02-27","pw.edu.pl",21,"kacper"
"2020-02-27","youtube.com",0,"kacper"
"2020-02-27","google.com",0,"kacper"
"2020-02-27","facebook.com",18,"kacper"
"2020-02-27","instagram.com",0,"kacper"
"2020-02-28","stackoverflow.com",0,"kacper"
"2020-02-28","wikipedia.org",4,"kacper"
"2020-02-28","github.com",16,"kacper"
"2020-02-28","pw.edu.pl",7,"kacper"
"2020-02-28","youtube.com",2,"kacper"
"2020-02-28","google.com",21,"kacper"
"2020-02-28","facebook.com",9,"kacper"
"2020-02-28","instagram.com",0,"kacper"
"2020-02-29","stackoverflow.com",0,"kacper"
"2020-02-29","wikipedia.org",8,"kacper"
"2020-02-29","github.com",0,"kacper"
"2020-02-29","pw.edu.pl",0,"kacper"
"2020-02-29","youtube.com",4,"kacper"
"2020-02-29","google.com",5,"kacper"
"2020-02-29","facebook.com",0,"kacper"
"2020-02-29","instagram.com",0,"kacper"
"2020-03-03","stackoverflow.com",0,"kacper"
"2020-03-03","wikipedia.org",0,"kacper"
"2020-03-03","github.com",0,"kacper"
"2020-03-03","pw.edu.pl",0,"kacper"
"2020-03-03","youtube.com",0,"kacper"
"2020-03-03","google.com",8,"kacper"
"2020-03-03","facebook.com",0,"kacper"
"2020-03-03","instagram.com",0,"kacper"
"2020-03-04","stackoverflow.com",0,"kacper"
"2020-03-04","wikipedia.org",1,"kacper"
"2020-03-04","github.com",0,"kacper"
"2020-03-04","pw.edu.pl",10,"kacper"
"2020-03-04","youtube.com",0,"kacper"
"2020-03-04","google.com",21,"kacper"
"2020-03-04","facebook.com",11,"kacper"
"2020-03-04","instagram.com",0,"kacper"
"2020-03-05","stackoverflow.com",0,"kacper"
"2020-03-05","wikipedia.org",1,"kacper"
"2020-03-05","github.com",0,"kacper"
"2020-03-05","pw.edu.pl",13,"kacper"
"2020-03-05","youtube.com",0,"kacper"
